Control1,Control2,X1,X2,X3,M1,M2,Y
2.00,5.00,4.00,4.00,4.00,3.93,4.00,3.27
2.00,5.00,4.25,3.25,4.00,3.80,3.00,3.91
2.00,5.00,3.00,3.00,3.00,3.00,3.00,3.00
2.00,5.00,4.25,4.00,4.00,4.00,5.00,4.00
2.00,5.00,4.50,4.75,5.00,4.20,3.33,3.82
1.00,5.00,5.00,5.00,5.00,4.60,4.33,5.00
2.00,5.00,4.00,4.00,3.83,4.27,4.33,4.55
2.00,7.00,4.50,4.50,4.33,4.47,4.00,4.45
2.00,5.00,4.00,4.00,4.33,2.67,4.50,3.00
2.00,5.00,4.75,4.50,4.67,4.73,4.83,5.00
2.00,5.00,5.00,4.50,4.67,4.87,5.00,4.55
2.00,5.00,3.75,3.00,3.00,3.07,3.00,3.00
1.00,1.00,4.50,3.75,4.33,4.40,5.00,3.36
1.00,5.00,2.00,3.00,2.00,2.00,3.67,4.27
2.00,5.00,4.50,4.25,4.50,4.13,4.67,3.45
2.00,5.00,4.75,4.00,4.00,4.00,4.17,4.00
2.00,5.00,4.25,4.00,3.67,3.73,3.83,3.64
2.00,5.00,4.00,3.50,3.67,3.60,3.83,3.73
2.00,5.00,4.50,3.50,5.00,4.67,4.33,4.36
2.00,5.00,3.25,2.75,3.17,3.07,3.00,3.00
2.00,5.00,4.50,4.00,4.83,4.00,4.50,4.36
2.00,5.00,5.00,4.50,4.67,4.40,5.00,4.55
2.00,5.00,4.25,4.75,4.00,4.73,4.00,4.00
2.00,5.00,4.00,4.50,4.83,4.40,5.00,4.36
2.00,5.00,3.50,3.25,3.83,3.40,2.50,3.45
2.00,5.00,3.50,3.75,3.67,3.20,3.33,3.82
2.00,5.00,5.00,4.00,4.67,4.13,4.50,4.18
1.00,4.00,4.75,3.50,4.50,4.20,3.83,2.82
2.00,5.00,3.75,3.25,3.67,3.60,3.33,3.55
2.00,5.00,5.00,4.25,4.83,4.47,5.00,4.64
1.00,7.00,5.00,4.75,5.00,4.87,5.00,4.64
3.00,1.00,5.00,4.50,5.00,4.67,5.00,3.91
3.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00
3.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00
3.00,1.00,4.00,4.00,4.00,4.40,4.00,3.00
5.00,4.00,5.00,5.00,5.00,5.00,4.00,1.73
3.00,2.00,4.75,2.75,4.67,4.13,3.33,3.91
3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
3.00,2.00,5.00,5.00,4.67,4.00,4.17,4.00
5.00,3.00,4.25,5.00,4.33,3.93,5.00,4.18
3.00,1.00,3.75,4.25,4.33,4.33,3.67,3.82
3.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00
4.00,5.00,3.75,3.75,4.67,4.40,5.00,4.82
3.00,1.00,4.50,2.50,3.50,3.73,3.17,2.36
2.00,5.00,4.25,4.25,4.67,4.87,4.00,4.00
3.00,7.00,5.00,5.00,5.00,5.00,5.00,5.00
3.00,1.00,4.00,4.50,5.00,4.60,4.33,4.00
3.00,1.00,4.50,4.50,4.83,4.73,4.33,4.82
,,,,,,,
