Sample ID,工作条件,人际关系,公司满意度,机会感知,离职倾向
1,3,4,3.692307692,3,1.75
2,3.25,3.5,3.846153846,3,1.5
3,4.25,5,3.230769231,3,1.25
4,3,2.375,3.153846154,4,1.5
5,4,3.75,2.923076923,3.25,2.25
6,2.75,3.25,3.384615385,3,2.75
7,3,4,3,3.25,2
8,3,3.625,3.923076923,2,1.25
9,3.75,3.625,2.846153846,3.5,2.5
10,3.25,4,3.384615385,3.25,2.25
11,3.5,4.75,3,4,1.75
12,4,4,2.923076923,3.5,2
13,3.75,4,2.692307692,3.25,4.25
14,4,3.875,3.692307692,2.75,1.75
15,4,5,3.615384615,3,1.25
16,3.25,3.75,2.384615385,3.5,2.75
17,3,3.875,3.307692308,3,1.5
18,3.25,3.5,3.538461538,3,1.75
19,4,4,3.307692308,3.5,1
20,2.75,3.125,3.384615385,3,1.75
21,4,4,3.384615385,3.5,1.5
22,3.75,4.5,3.615384615,2.5,1.75
23,2.75,4.125,2.846153846,4.5,2.5
24,2.5,3.125,3.307692308,3.75,1.25
25,3.25,3.5,2.769230769,3.75,2
26,4,4.25,3.615384615,2.5,1.25
27,4.25,4.375,3.307692308,2.75,1.75
28,3,3.125,3.384615385,2,1.75
29,3.5,3.125,3.076923077,3,1.25
30,3.5,3.25,2.538461538,3.25,2.75
31,4.5,4.125,2.769230769,3,2
32,3.75,3.875,2.923076923,3,2
33,4.25,3.75,2.846153846,3,1.5
34,3.25,3.875,3.461538462,3.5,2
35,4.25,3.625,3.846153846,2.5,2
36,3.25,3.5,3.230769231,3.25,1.75
37,3.25,3.5,3.307692308,3,2
38,3,3.25,2.692307692,3.5,3.25
39,3.75,4.125,4,3,1.25
40,3,3.75,3.461538462,3.5,1.5
41,3.75,3.75,3.461538462,3.75,1.75
42,4,4,3.076923077,3.75,1
43,4.5,3.875,3,3,2
44,4,4.75,3.307692308,3,1.75
45,4,4,3.461538462,5,1
46,4,4,3.615384615,3,2
47,3,3.625,2.846153846,5,2.25
48,3.25,3.75,3.307692308,3.75,2
49,3,1.875,3.615384615,2.75,1.75
50,4.5,4.5,3.230769231,3,2
51,3.25,3.625,4.461538462,3.75,1.5
52,3.75,3.5,3.692307692,3.5,1.75
53,3,3.75,3.615384615,3.5,1.5
54,4.75,4.375,3.076923077,5,2.5
55,2.5,3.625,2.692307692,5,2.75
56,3.75,3.875,3.461538462,3,2
57,3.5,3.25,2.923076923,3.75,2.25
58,3,2.5,3.307692308,4.5,1
59,3.75,3.875,3.538461538,4,1.5
60,3.75,2.5,2,3.75,3.5
61,4.5,3.75,2.615384615,3,1
62,4.25,3.375,4.538461538,3,1
63,3.25,2.75,2.153846154,4,3.25
64,5,5,3.615384615,3.5,2
65,5,4.875,4.076923077,2,1
66,2.75,2.875,2.769230769,3,2.75
67,3.25,3.375,4.307692308,2.75,1.5
68,4,3.5,4.076923077,3.5,2
69,5,4.875,3,4,2
70,3,3,2.692307692,4.5,1.75
71,3,2.625,3.538461538,3.25,1.75
72,4.5,5,4.230769231,3,1.5
73,3.5,4.125,2.615384615,4.5,1.75
74,3.75,4,3.615384615,3.5,3
75,4,3.625,3.153846154,3.25,1.75
76,4,2.75,3,3.75,3
77,4,3.875,3.538461538,3.25,1.5
78,3.75,3.75,3.230769231,3.75,2
79,3.75,4.125,3.076923077,4,3.25
80,3.75,3.375,2.923076923,3.75,3
81,5,4.5,4,3.25,1.5
82,2.75,3.875,3.461538462,3.75,2.75
83,3.75,4,3.769230769,3,1
84,4.25,3.75,3.076923077,3.75,2.25
85,3.75,4.375,3.307692308,2.75,1.25
86,3.75,3.75,3.153846154,3,2
87,3,2.875,3.538461538,3,3
88,3.5,3,3.230769231,3,2
89,4.75,4.75,4.769230769,3,1
90,4,4,3.384615385,2.75,1.75
91,4.5,4,3.769230769,3.25,2.5
92,3.25,3.875,2.384615385,3.75,2.25
93,3,2.625,3.076923077,3.25,1.75
94,5,4.75,4.461538462,2.25,1
95,3.25,3.25,2.923076923,3,2.25
96,3.75,4.125,3.769230769,3,1.25
97,4,4.375,3.692307692,3.75,2
98,4.25,3.5,2.384615385,2.75,2.5
99,3.75,3.375,3.076923077,3.25,1.5
100,3.75,4.625,3.923076923,3.5,1
101,3.75,3.75,3.076923077,3.25,2
102,3.75,3,3.307692308,3,2.25
103,4,5,4.692307692,1.75,1
104,4,3.625,3.076923077,2.75,2
105,3.75,3.5,3.923076923,3,1.5
106,4,3.375,3.692307692,3.75,1.25
107,4,4.125,2.769230769,3.25,2.25
108,4.5,4.125,3.538461538,4.5,2.25
109,3.5,3.875,3.307692308,2.5,1.75
110,4,4.125,3.461538462,3.75,2.75
111,4,5,3.307692308,3,1.5
112,3,3,2.923076923,3.5,2.5
113,3.75,3.5,3.461538462,4,1.25
114,3.75,4.625,2.923076923,3.25,2.5
115,4,3.5,4,2.5,1.5
116,3.25,3.75,3.769230769,3,1.75
117,3.5,3.625,3.923076923,3.25,1.75
118,4.75,4.75,3.692307692,2.75,1
119,4,3.875,3.461538462,3.5,1.25
120,3.75,3.375,3.769230769,3.25,2
121,3.75,2.75,2.692307692,4,2.5
122,4,3.75,3.538461538,3,2.25
123,3.5,2.5,3.384615385,2.75,1.75
124,4,4,4,2.75,1
125,3,3,2.615384615,3,3
126,4.25,3.75,2.230769231,4,3
127,5,5,4.153846154,3.5,1
128,3.25,3.375,3.461538462,3,3
129,3.25,3.125,3.307692308,2.5,2.25
130,3,3,2,3,3
131,2.25,3,3.307692308,3,1.5
132,3.5,3.5,3.076923077,3.5,2.5
133,4.25,4.5,3.923076923,2.5,1
134,3,3.25,2.307692308,3.75,3
135,3.75,3.125,3.384615385,3,2.25
136,4,3.75,2.307692308,4,3
137,2.5,3.125,3.384615385,3.5,2
138,4.5,4.375,3.846153846,2.75,1
139,3.25,3.875,2.384615385,3.25,2.5
140,4,3.5,3.538461538,3,1.5
141,3.25,4.25,3.923076923,2.75,1
142,3.5,3.625,2.923076923,3.25,3
143,4,4.125,2.923076923,4.5,3
