year,name,percent,sex
1950,James,0.047336,boy
1950,Robert,0.04593,boy
1950,John,0.043655,boy
1950,Michael,0.03581,boy
1950,David,0.033382,boy
1950,William,0.033372,boy
1950,Richard,0.028027,boy
1950,Thomas,0.02507,boy
1950,Charles,0.021495,boy
1950,Gary,0.018547,boy
1950,Larry,0.017289,boy
1950,Ronald,0.016455,boy
1950,Joseph,0.014855,boy
1950,Donald,0.014836,boy
1950,Kenneth,0.013088,boy
1950,Steven,0.012788,boy
1950,Dennis,0.012553,boy
1950,Paul,0.011948,boy
1950,Stephen,0.011273,boy
1950,George,0.011089,boy
1950,Daniel,0.010552,boy
1950,Edward,0.010299,boy
1950,Mark,0.009137,boy
1950,Jerry,0.008391,boy
1950,Gregory,0.007321,boy
1950,Bruce,0.006965,boy
1950,Roger,0.006891,boy
1950,Douglas,0.006736,boy
1950,Frank,0.006391,boy
1950,Terry,0.006288,boy
1950,Raymond,0.006139,boy
1950,Timothy,0.005771,boy
1950,Lawrence,0.005605,boy
1950,Gerald,0.005344,boy
1950,Wayne,0.005093,boy
1950,Anthony,0.004741,boy
1950,Peter,0.004604,boy
1950,Patrick,0.004496,boy
1950,Danny,0.004482,boy
1950,Walter,0.004288,boy
1950,Alan,0.004255,boy
1950,Willie,0.004249,boy
1950,Jeffrey,0.004209,boy
1950,Carl,0.004005,boy
1950,Harold,0.003961,boy
1950,Arthur,0.003933,boy
1950,Henry,0.003837,boy
1950,Jack,0.003762,boy
1950,Dale,0.003722,boy
1950,Johnny,0.003622,boy
1950,Roy,0.003549,boy
1950,Ralph,0.00352,boy
1950,Philip,0.003336,boy
1950,Joe,0.003321,boy
1950,Albert,0.003166,boy
1950,Jimmy,0.003163,boy
1950,Billy,0.003119,boy
1950,Eugene,0.003017,boy
1950,Glenn,0.003004,boy
1950,Stanley,0.002995,boy
1950,Harry,0.002947,boy
1950,Samuel,0.002872,boy
1950,Howard,0.002842,boy
1950,Phillip,0.002778,boy
1950,Bobby,0.002761,boy
1950,Christopher,0.002756,boy
1950,Louis,0.002721,boy
1950,Andrew,0.002718,boy
1950,Russell,0.002714,boy
1950,Craig,0.002687,boy
1950,Randall,0.002666,boy
1950,Allen,0.002662,boy
1950,Kevin,0.00262,boy
1950,Barry,0.002584,boy
1950,Frederick,0.00256,boy
1950,Ronnie,0.002531,boy
1950,Leonard,0.002516,boy
1950,Keith,0.002512,boy
1950,Brian,0.002452,boy
1950,Randy,0.002396,boy
1950,Ernest,0.002371,boy
1950,Scott,0.002344,boy
1950,Fred,0.00231,boy
1950,Steve,0.002308,boy
1950,Martin,0.0023,boy
1950,Francis,0.002243,boy
1950,Melvin,0.002134,boy
1950,Rodney,0.002117,boy
1950,Eddie,0.002071,boy
1950,Norman,0.002,boy
1950,Lee,0.001984,boy
1950,Earl,0.001973,boy
1950,Marvin,0.001923,boy
1950,Tommy,0.001889,boy
1950,Clarence,0.001836,boy
1950,Alfred,0.001774,boy
1950,Curtis,0.001762,boy
1950,Eric,0.001704,boy
1950,Theodore,0.001629,boy
1950,Clifford,0.001618,boy
1950,Vincent,0.00161,boy
1950,Leroy,0.001564,boy
1950,Jerome,0.001557,boy
1950,Micheal,0.001552,boy
1950,Calvin,0.001512,boy
1950,Victor,0.001495,boy
1950,Don,0.001488,boy
1950,Gordon,0.001479,boy
1950,Bernard,0.001455,boy
1950,Jose,0.001455,boy
1950,Ray,0.001449,boy
1950,Herbert,0.001444,boy
1950,Jesse,0.001433,boy
1950,Mike,0.00143,boy
1950,Jay,0.001419,boy
1950,Darrell,0.001373,boy
1950,Edwin,0.001366,boy
1950,Warren,0.001361,boy
1950,Leon,0.001333,boy
1950,Dean,0.001283,boy
1950,Alvin,0.001246,boy
1950,Gene,0.001233,boy
1950,Benjamin,0.001204,boy
1950,Nicholas,0.001196,boy
1950,Glen,0.001194,boy
1950,Leslie,0.001171,boy
1950,Lloyd,0.001167,boy
1950,Ricky,0.001155,boy
1950,Dan,0.001142,boy
1950,Joel,0.001125,boy
1950,Bill,0.001118,boy
1950,Lewis,0.001117,boy
1950,Juan,0.001116,boy
1950,Vernon,0.001104,boy
1950,Lonnie,0.001099,boy
1950,Clyde,0.001092,boy
1950,Duane,0.001078,boy
1950,Jon,0.001067,boy
1950,Jackie,0.001058,boy
1950,Jim,0.001057,boy
1950,Jimmie,0.001047,boy
1950,Floyd,0.00104,boy
1950,Allan,0.001039,boy
1950,Gilbert,0.001034,boy
1950,Tom,0.001001,boy
1950,Dwight,0.000997,boy
1950,Harvey,0.000995,boy
1950,Tony,0.00097,boy
1950,Lester,0.00097,boy
1950,Donnie,0.00095,boy
1950,Charlie,0.000929,boy
1950,Bradley,0.000896,boy
1950,Franklin,0.000894,boy
1950,Freddie,0.000893,boy
1950,Lynn,0.00089,boy
1950,Neil,0.000883,boy
1950,Johnnie,0.000874,boy
1950,Manuel,0.000872,boy
1950,Herman,0.000859,boy
1950,Milton,0.000853,boy
1950,Leo,0.000852,boy
1950,Randolph,0.000847,boy
1950,Jonathan,0.000847,boy
1950,Garry,0.000846,boy
1950,Wesley,0.000834,boy
1950,Arnold,0.000832,boy
1950,Marc,0.000829,boy
1950,Rick,0.000818,boy
1950,Chester,0.000757,boy
1950,Ted,0.000746,boy
1950,Cecil,0.000736,boy
1950,Matthew,0.000719,boy
1950,Rickey,0.000718,boy
1950,Karl,0.000715,boy
1950,Reginald,0.000714,boy
1950,Terrence,0.000698,boy
1950,Claude,0.00069,boy
1950,Chris,0.000684,boy
1950,Guy,0.000682,boy
1950,Nathaniel,0.000677,boy
1950,Mitchell,0.000676,boy
1950,Kent,0.000676,boy
1950,Jeffery,0.000668,boy
1950,Dana,0.00066,boy
1950,Maurice,0.000657,boy
1950,Stuart,0.000657,boy
1950,Carlos,0.000657,boy
1950,Roland,0.000652,boy
1950,Alexander,0.000642,boy
1950,Fredrick,0.000641,boy
