formula,prediction,density,Peak Score,index
AcAu3,77.438,0.925,1.565,"(3814,)"
Ag2CO3,77.260,0.417,1.411,"(1069,)"
Ac,52.247,0.599,1.402,"(1557, 8004)"
Ag3P11,76.246,0.001,0.739,"(2793,)"
Ac2NiIr,61.469,0.747,0.344,"(1576,)"
Ag2SeO3,67.735,0.223,0.327,"(2391,)"
AcI3,46.720,0.030,0.198,"(3514,)"
Ac2MgSn,46.540,0.587,0.140,"(5739,)"
Ac2CuIr,59.376,1.127,0.106,"(5483,)"
AcGa3,42.879,0.203,0.027,"(7699,)"
Ag2O,69.781,0.727,-0.027,"(2990, 11358)"
AcHgAu2,64.586,0.594,-0.047,"(3527,)"
Ac2ZnGe,44.342,1.114,-0.110,"(7642,)"
AcMgTl2,40.586,0.377,-0.146,"(3512,)"
AcCdRh2,59.642,0.001,-0.609,"(7503,)"
Ag2S,62.587,2.692,-0.845,"(936, 6844, 6849, 6875, 7060)"
AcBr3,38.452,0.182,-0.941,"(6712,)"
Ac3Sn,39.099,0.000,-1.010,"(7506,)"
Ag2MoO4,52.365,0.005,-1.437,"(6454,)"
Ag2HgI4,45.014,0.117,-2.257,"(2696, 7196)"
