mid,q1_diff,q2_diff,q3_diff,improved_score,score_change,q1_first,q1_second,q2_first,q2_second,q3_first,q3_second,avg_score_diff,max_score_diff_pos,max_score_diff_neg,pct_3p,pct_fg,pct_ft,pct_3p_reg,pct_fg_reg,pct_ft_reg,underdog_odds,p1_plays,p2_plays,p3_plays
MIA428,-11,-1,-8,True,3,False,False,True,False,True,False,-4.04,7,-14,0.3157894736842105,0.4923076923076923,0.8,-0.06,0.02,0.04,2.75,True,True,False
POR211,1,-3,-4,True,8,True,False,True,False,False,False,0.6614173228346457,8,-8,0.238095238095238,0.5,0.8,-0.13,0.03,0.01,2.95,True,False,False
GSW329,-5,-5,-11,False,-3,False,False,True,False,True,False,-5.186915887850467,5,-18,0.4666666666666667,0.5131578947368421,0.8,0.11,0.04,0.03,2.05,True,True,False
BOS1225,-4,3,-9,False,-19,False,False,True,False,False,False,-5.796610169491525,5,-28,0.4545454545454545,0.5178571428571429,0.782608695652174,0.08,0.05,-0.0,2.25,True,True,True
UTA327,-20,-17,-18,True,2,False,False,True,False,False,True,-15.741935483870968,6,-30,0.4516129032258064,0.5373134328358209,0.7368421052631579,0.08,0.08,-0.05,4.5,True,True,True
SAC117,-9,-9,-3,False,-2,False,False,False,True,False,True,-7.355555555555555,5,-19,0.5882352941176471,0.5507246376811594,0.7333333333333333,0.21,0.06,-0.05,2.25,True,True,True
HOU324,0,-3,-23,False,-2,True,False,False,False,False,False,-10.522522522522523,10,-33,0.5172413793103449,0.5333333333333333,0.7777777777777778,0.14,0.05,-0.01,2.6,False,False,True
IND324,3,-6,-7,True,2,False,False,False,False,True,False,-2.232142857142857,8,-10,0.4,0.4657534246575342,0.7272727272727273,0.04,-0.01,-0.03,3.5,True,False,True
PHO513,0,1,-8,True,7,False,False,True,False,False,False,-1.9672131147540983,4,-10,0.3461538461538461,0.4166666666666667,1.0,-0.03,-0.06,0.21,2.1,True,True,True
BRK605,2,-2,-14,True,6,True,False,False,True,False,False,-4.45045045045045,9,-19,0.3870967741935484,0.52,0.8888888888888888,0.0,0.06,0.11,2.45,True,True,False
IND406,-2,-13,-23,True,7,True,False,False,False,False,False,-9.066037735849056,5,-23,0.4642857142857143,0.5135135135135135,0.7272727272727273,0.1,0.05,-0.05,2.1,False,False,False
DAL201,0,-6,-5,True,6,True,False,True,False,False,True,-2.130434782608696,5,-11,0.2916666666666667,0.4328358208955223,0.9444444444444444,-0.06,-0.03,0.17,2.2,True,True,True
UTA127,-13,-21,-22,True,10,False,False,False,False,True,False,-15.101851851851851,0,-25,0.4827586206896552,0.5373134328358209,0.7368421052631579,0.12,0.08,-0.03,2.15,True,True,True
DAL512,-2,-19,-31,True,13,False,False,False,True,False,False,-15.3359375,3,-31,0.4375,0.5540540540540541,0.8333333333333334,0.06,0.09,0.04,4.85,False,False,False
PHI508,-17,-13,-16,True,2,False,False,True,False,False,False,-14.03305785123967,0,-24,0.2727272727272727,0.4705882352941176,0.8636363636363636,-0.09,-0.01,0.1,5.0,True,False,False
NYK225,-9,-15,-7,False,-12,True,False,False,False,False,True,-10.248175182481752,3,-23,0.4782608695652174,0.5692307692307692,0.9411764705882352,0.1,0.08,0.15,1.9523809523809523,True,True,True
MEM103,11,-2,-2,False,-12,False,True,False,False,True,False,-0.8613861386138614,12,-16,0.3076923076923077,0.4225352112676056,0.9,-0.06,-0.04,0.11,5.0,False,True,True
POR220,-12,6,-3,True,10,False,False,True,True,False,False,0.040983606557377,10,-14,0.4,0.3924050632911392,0.7,0.03,-0.08,-0.08,2.55,True,True,True
DAL506,5,1,-1,True,5,True,False,False,True,False,False,2.274336283185841,10,-5,0.3793103448275862,0.4583333333333333,0.8571428571428571,0.01,-0.0,0.09,2.3,True,True,False
DEN613,-6,-8,-13,True,6,False,False,False,False,True,False,-6.681818181818182,2,-16,0.4210526315789473,0.5396825396825397,1.0,0.06,0.07,0.23,2.35,False,True,False
MIL419,-1,1,-7,True,8,True,False,True,False,False,False,-0.34375,6,-9,0.0833333333333333,0.4366197183098591,0.9047619047619048,-0.27,-0.03,0.13,2.3,True,True,True
NYK221,-12,-11,-16,True,12,False,False,True,False,False,True,-7.356521739130435,6,-21,0.3529411764705882,0.4754098360655737,0.8214285714285714,-0.04,-0.01,0.04,2.35,True,True,True
TOR426,-10,-1,-11,False,-5,False,False,True,True,False,False,-6.018018018018018,8,-17,0.1923076923076923,0.515625,0.8333333333333334,-0.19,0.03,0.05,6.75,False,True,True
PHO428,-8,-10,-6,False,-2,False,False,False,True,True,True,-7.0588235294117645,0,-14,0.4285714285714285,0.4794520547945205,0.6666666666666666,0.07,0.02,-0.11,2.6,False,True,True
PHO106,3,-4,-9,True,1,False,False,False,False,False,False,-3.712,7,-15,0.5483870967741935,0.4925373134328358,0.8666666666666667,0.17,0.03,0.07,2.3,True,True,True
MEM210,4,-2,-18,True,2,True,False,False,False,False,False,-4.301724137931035,10,-23,0.45,0.4675324675324675,0.6875,0.08,-0.0,-0.06,2.2,True,True,True
BOS511,0,-6,-14,True,6,False,False,False,False,True,False,-5.414634146341464,6,-21,0.45,0.5806451612903226,0.75,0.08,0.12,-0.04,2.0,True,False,True
LAL1228,-8,4,-1,True,9,False,True,True,False,False,True,-0.4867256637168141,8,-13,0.4210526315789473,0.5,0.8461538461538461,0.03,0.02,0.06,5.0,False,False,False
OKC115,-8,-18,-8,True,10,True,False,False,False,True,True,-8.746031746031745,5,-22,0.5172413793103449,0.532258064516129,0.7368421052631579,0.15,0.06,-0.04,2.1,True,True,True
MIL625,-6,-32,-40,True,6,False,False,False,False,False,False,-23.357798165137616,0,-41,0.4375,0.5774647887323944,0.6363636363636364,0.09,0.11,-0.17,4.1,True,True,True
PHI403,3,-4,-14,True,5,False,False,False,True,False,False,-6.727941176470588,6,-19,0.4782608695652174,0.515625,0.7407407407407407,0.09,0.03,-0.05,8.5,True,False,True
TOR406,-12,-26,-20,True,11,False,False,False,True,True,True,-17.833333333333332,2,-34,0.4545454545454545,0.532258064516129,0.6923076923076923,0.08,0.07,-0.11,1.9523809523809523,False,True,False
PHI104,-3,-15,-16,False,-1,False,False,True,False,False,False,-11.280701754385966,5,-27,0.32,0.4583333333333333,0.7272727272727273,-0.05,-0.01,-0.02,3.9,True,True,True
HOU502,-10,-15,-22,False,-3,False,False,False,False,True,False,-15.0,5,-35,0.4814814814814814,0.5151515151515151,0.8571428571428571,0.1,0.04,0.07,5.75,False,False,True
CHO328,3,0,-9,True,5,True,False,False,False,False,False,-3.293577981651376,8,-16,0.1923076923076923,0.4029850746268656,0.8095238095238095,-0.17,-0.07,0.06,3.1,True,True,True
MEM216,3,-5,-20,False,-11,True,False,True,False,False,False,-7.0,11,-34,0.5,0.6,0.7333333333333333,0.13,0.14,-0.05,1.9523809523809523,True,True,True
ORL407,-1,-13,-10,False,-5,True,False,False,False,True,True,-7.854838709677419,5,-21,0.5714285714285714,0.5606060606060606,1.0,0.2,0.09,0.21,2.7,False,False,False
